id,code,name
64,SCIENTIFIC_RESEARCH_DEVELOPMENT,Scientific research and development
65,ADVERTISING_MARKET_RESEARCH,Advertising and market research
66,OTHER_PROFESSIONAL_ACTIVITIES,"Other professional, scientific and technical activities"
67,VETERINARY_ACTIVITIES,Veterinary activities
68,RENTAL_LEASING_ACTIVITIES,Rental and leasing activities
69,EMPLOYMENT_ACTIVITIES,Employment activities
70,TRAVEL_AGENCY_ACTIVITIES,"Travel agency, tour operator and other reservation service and related activities"
71,SECURITY_INVESTIGATION_ACTIVITIES,Security and investigation activities
72,BUILDINGS_LANDSCAPE_ACTIVITIES,Services to buildings and landscape activities
73,OFFICE_ADMINISTRATIVE_ACTIVITIES,"Office administrative, office support and other business support activities"
74,PUBLIC_ADMINISTRATION_DEFENCE,Public administration and defence; compulsory social security
75,EDUCATION,Education
76,HUMAN_HEALTH_ACTIVITIES,Human health activities
77,RESIDENTIAL_CARE_ACTIVITIES,Residential care activities
78,SOCIAL_WORK_ACTIVITIES,Social work activities without accommodation
79,CREATIVE_ARTS_ENTERTAINMENT,"Creative, arts and entertainment activities"
80,LIBRARIES_ARCHIVES_MUSEUMS,"Libraries, archives, museums and other cultural activities"
81,GAMBLING_BETTING_ACTIVITIES,Gambling and betting activities
82,SPORTS_RECREATION_ACTIVITIES,Sports activities and amusement and recreation activities
83,MEMBERSHIP_ORGANIZATIONS_ACTIVITIES,Activities of membership organizations
84,REPAIR_COMPUTERS_HOUSEHOLD_GOODS,Repair of computers and personal and household goods
85,OTHER_PERSONAL_SERVICE_ACTIVITIES,Other personal service activities
86,HOUSEHOLDS_AS_EMPLOYERS,Activities of households as employers of domestic personnel
87,UNDIFFERENTIATED_GOODS_SERVICES,Undifferentiated goods- and services-producing activities of private households for own use
88,EXTRATERRITORIAL_ORGANIZATIONS,Activities of extraterritorial organizations and bodies
